No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
210,강원,태백중앙시장,태백중앙시장,10.4,10.4,10.4,10.4,11.4,10.6,10.6
211,충북,충북,충북,19.1,19.5,19.8,20.2,20.2,19.7,20.3
212,충북,봉명사거리,봉명사거리,4.8,4.8,4.8,4.8,4.8,5.7,5.7
213,충북,제천역,제천역,10.9,10.9,10.9,11.6,11.6,11.6,16.2
214,충북,제천중앙,제천중앙,33.5,32.6,32.6,33.8,33.8,32.6,33.8
215,충북,증평광장로,증평광장로,16.8,16.8,16.8,16.8,16.8,15.2,16.8
216,충북,청주성안길,청주성안길,29.3,31.1,31.7,32.8,33.0,31.5,30.4
217,충북,청주율량동,청주율량동,18.5,18.5,14.2,14.2,14.2,14.2,17.3
218,충북,충북대학교,충북대학교,29.2,30.8,32.2,30.4,30.0,30.0,30.0
219,충북,충주연수칠금,충주연수칠금,14.1,18.1,19.1,19.8,19.8,18.1,19.2
220,충북,충주자유시장,충주자유시장,35.8,34.2,34.2,34.2,34.2,34.2,36.9
221,충남,충남,충남,13.3,13.5,13.4,14.1,14.6,15.6,15.6
222,충남,공주대,공주대,5.8,6.5,6.9,12.4,9.8,9.8,9.9
223,충남,공주웅진동,공주웅진동,13.8,15.8,16.6,16.2,16.2,17.4,21.2
224,충남,논산시외버스터미널,논산시외버스터미널,14.2,14.2,12.6,14.2,17.3,16.5,15.5
225,충남,당진시청,당진시청,5.1,3.7,3.7,3.7,4.7,5.1,5.1
226,충남,두정,두정,16.0,13.2,12.4,13.2,13.4,23.8,23.8
227,충남,배방읍,배방읍,8.3,8.3,4.5,6.7,9.1,9.1,10.5
228,충남,보령문화의전당,보령문화의전당,10.5,9.4,9.7,14.4,15.8,15.8,15.1
229,충남,서산터미널,서산터미널,23.3,24.1,22.8,22.2,22.2,21.8,25.2
230,충남,아산온양,아산온양,14.8,15.2,16.3,16.3,16.0,17.1,17.7
231,충남,예산시장,예산시장,12.8,14.7,14.7,14.1,16.6,16.6,15.2
232,충남,천안역,천안역,17.6,17.1,16.8,16.3,15.3,15.3,15.3
233,충남,천안종합버스터미널,천안종합버스터미널,14.1,14.6,14.6,15.0,19.4,19.9,18.6
234,충남,청당행정타운,청당행정타운,5.1,5.1,6.8,6.8,5.1,5.1,3.8
235,충남,태안터미널,태안터미널,5.5,3.2,3.2,3.2,3.2,4.2,4.2
236,충남,합덕버스터미널,합덕버스터미널,25.2,24.0,24.0,24.0,25.1,25.1,22.8
237,전북,전북,전북,18.2,18.9,18.9,18.2,17.8,18.1,18.2
238,전북,군산수송동조촌동,군산수송동조촌동,14.9,21.7,22.9,21.9,19.6,19.3,19.3
239,전북,군산원도심,군산원도심,13.9,13.9,13.1,13.1,13.1,13.1,14.0
240,전북,김제시장,김제시장,22.4,22.4,22.4,22.4,22.4,22.4,30.4
241,전북,남원광한루,남원광한루,13.7,14.3,13.4,13.8,13.6,14.3,13.1
